iter	CrossEntropy	Logloss	Accuracy	AUC
0	0.6684630264	0.6684630264	0.8674698795	0.8603614405
1	0.6434423968	0.6434423968	0.8855421687	0.8945980119
2	0.617209745	0.617209745	0.8915662651	0.9281587897
3	0.5934780471	0.5934780471	0.8915662651	0.9317012557
4	0.5681713977	0.5681713977	0.8955823293	0.9429499477
5	0.5483452899	0.5483452899	0.8915662651	0.9475061039
6	0.5319332532	0.5319332532	0.8935742972	0.9497732822
7	0.5153750606	0.5153750606	0.8955823293	0.9541877398
8	0.497011614	0.497011614	0.8935742972	0.9551251308
9	0.4807073637	0.4807073637	0.8935742972	0.9570762121
10	0.4663948851	0.4663948851	0.8935742972	0.9594087897
11	0.4525821715	0.4525821715	0.8975903614	0.9621991629
12	0.4358842515	0.4358842515	0.8955823293	0.9621228636
13	0.4228497361	0.4228497361	0.8955823293	0.9624498605
14	0.4116624795	0.4116624795	0.8955823293	0.963125654
15	0.4022098779	0.4022098779	0.8955823293	0.9644336414
16	0.3918286843	0.3918286843	0.9036144578	0.964891437
17	0.3814098545	0.3814098545	0.8995983936	0.9652620335
18	0.3744827214	0.3744827214	0.8995983936	0.9651530345
19	0.3662259122	0.3662259122	0.8995983936	0.9656762295
20	0.3583539256	0.3583539256	0.9016064257	0.9664828218
21	0.3491141553	0.3491141553	0.9016064257	0.9679107081
22	0.3426483185	0.3426483185	0.9016064257	0.967605511
23	0.3355268184	0.3355268184	0.8995983936	0.9688262993
24	0.3295749786	0.3295749786	0.9016064257	0.9694366934
25	0.3236208679	0.3236208679	0.9016064257	0.9701342867
26	0.3184771302	0.3184771302	0.9016064257	0.9703304848
27	0.3133693226	0.3133693226	0.9036144578	0.9700906871
28	0.3071398632	0.3071398632	0.9036144578	0.9701342867
29	0.3003403404	0.3003403404	0.90562249	0.9705702825
30	0.2956454184	0.2956454184	0.90562249	0.9703958842
31	0.2903548246	0.2903548246	0.90562249	0.9712896756
32	0.2854643372	0.2854643372	0.90562249	0.9720744681
33	0.280583309	0.280583309	0.9076305221	0.9724232647
34	0.2771706521	0.2771706521	0.9076305221	0.9729682595
35	0.2733295898	0.2733295898	0.9096385542	0.9738620509
36	0.2694926367	0.2694926367	0.9096385542	0.9742980467
37	0.2657713776	0.2657713776	0.9096385542	0.9752572375
38	0.2630501793	0.2630501793	0.9096385542	0.9755624346
39	0.2602561595	0.2602561595	0.9096385542	0.9758022323
40	0.257262885	0.257262885	0.9096385542	0.976151029
41	0.2518529839	0.2518529839	0.9116465863	0.976151029
42	0.2486754212	0.2486754212	0.9116465863	0.9766306243
43	0.246346752	0.246346752	0.9116465863	0.9767832229
44	0.2425116132	0.2425116132	0.9116465863	0.977807813
45	0.2380652386	0.2380652386	0.9136546185	0.9782002093
46	0.2363450409	0.2363450409	0.9156626506	0.9782438089
47	0.2338431148	0.2338431148	0.9156626506	0.9786580049
48	0.2321692227	0.2321692227	0.9176706827	0.9788760028
49	0.2303795433	0.2303795433	0.9196787149	0.9789414022
50	0.2271899391	0.2271899391	0.9176706827	0.9792901988
51	0.2248112437	0.2248112437	0.9176706827	0.9793119986
52	0.2227139734	0.2227139734	0.9196787149	0.979377398
53	0.2200485709	0.2200485709	0.9196787149	0.9799441925
54	0.2181893832	0.2181893832	0.9236947791	0.9805109871
55	0.2157983658	0.2157983658	0.9236947791	0.9807507848
56	0.21452472	0.21452472	0.9236947791	0.9809033833
57	0.2121874797	0.2121874797	0.9236947791	0.9815137775
58	0.2103818715	0.2103818715	0.9257028112	0.9819933729
59	0.208090948	0.208090948	0.9236947791	0.982189571
60	0.2064899166	0.2064899166	0.9277108434	0.9826691664
61	0.2043120718	0.2043120718	0.9317269076	0.9831705616
62	0.2017063344	0.2017063344	0.9317269076	0.9834975584
63	0.200592411	0.200592411	0.9317269076	0.9839117544
64	0.1978604218	0.1978604218	0.9317269076	0.9844567492
65	0.1971058812	0.1971058812	0.9317269076	0.9845657482
66	0.1953782973	0.1953782973	0.9317269076	0.9848491454
67	0.1935283684	0.1935283684	0.9337349398	0.9850889431
68	0.1918959962	0.1918959962	0.9317269076	0.985524939
69	0.189674073	0.189674073	0.9357429719	0.9857647367
70	0.1883183703	0.1883183703	0.9357429719	0.9861571329
71	0.1865199152	0.1865199152	0.9357429719	0.9866803279
72	0.1842936569	0.1842936569	0.937751004	0.9869637251
73	0.1827607696	0.1827607696	0.937751004	0.9870291245
74	0.1814856216	0.1814856216	0.937751004	0.9872253226
75	0.1806770811	0.1806770811	0.9397590361	0.9874433205
76	0.1793144377	0.1793144377	0.9397590361	0.9875523195
77	0.1779026377	0.1779026377	0.9417670683	0.987704918
78	0.1763667319	0.1763667319	0.9417670683	0.9882063132
79	0.1750075241	0.1750075241	0.9437751004	0.9882935124
80	0.1738272101	0.1738272101	0.9437751004	0.9887949076
81	0.1724348906	0.1724348906	0.9437751004	0.9891219044
82	0.1711075096	0.1711075096	0.9437751004	0.9892527032
83	0.1698041536	0.1698041536	0.9437751004	0.9894489013
84	0.1687982501	0.1687982501	0.9437751004	0.9896014998
85	0.1678710224	0.1678710224	0.9437751004	0.9896232996
86	0.1676432344	0.1676432344	0.9437751004	0.9896232996
87	0.1664938755	0.1664938755	0.9437751004	0.9897976979
88	0.1656956994	0.1656956994	0.9437751004	0.9899938961
89	0.1650531194	0.1650531194	0.9437751004	0.9901246948
90	0.1636451817	0.1636451817	0.9437751004	0.9902990931
91	0.1627407434	0.1627407434	0.9437751004	0.9904080921
92	0.1619779055	0.1619779055	0.9457831325	0.9905388908
93	0.1602485178	0.1602485178	0.9477911647	0.9905388908
94	0.1594271848	0.1594271848	0.9477911647	0.99062609
95	0.1582522262	0.1582522262	0.9477911647	0.9910620858
96	0.156963906	0.156963906	0.9477911647	0.9915852808
97	0.1562635924	0.1562635924	0.9477911647	0.9916506802
98	0.1553096476	0.1553096476	0.9477911647	0.9919122776
99	0.1538322623	0.1538322623	0.9477911647	0.9918032787
100	0.1527208022	0.1527208022	0.9477911647	0.9921520753
101	0.151918782	0.151918782	0.9477911647	0.9922828741
102	0.150995162	0.150995162	0.9477911647	0.9924354726
103	0.150076264	0.150076264	0.9477911647	0.9925444716
104	0.1486146414	0.1486146414	0.9477911647	0.9928060691
105	0.1472072512	0.1472072512	0.9477911647	0.9930894663
106	0.1459067632	0.1459067632	0.9518072289	0.9933510638
107	0.1448662061	0.1448662061	0.9518072289	0.9934600628
108	0.1447241206	0.1447241206	0.9518072289	0.9934818626
109	0.1437750093	0.1437750093	0.9518072289	0.9936562609
110	0.1424826311	0.1424826311	0.9518072289	0.9940268573
111	0.1416997151	0.1416997151	0.9518072289	0.9941794559
112	0.1410925076	0.1410925076	0.9518072289	0.9942230555
113	0.1399354821	0.1399354821	0.953815261	0.994375654
114	0.1388124491	0.1388124491	0.953815261	0.9945282525
115	0.1380943669	0.1380943669	0.953815261	0.9945064527
116	0.1366485407	0.1366485407	0.9558232932	0.9947026509
117	0.1358430797	0.1358430797	0.9558232932	0.99478985
118	0.1352859961	0.1352859961	0.9558232932	0.9950078479
119	0.1346934541	0.1346934541	0.9578313253	0.9949860481
120	0.1338505004	0.1338505004	0.9578313253	0.9952476456
121	0.1330943388	0.1330943388	0.9598393574	0.9952476456
122	0.1324476151	0.1324476151	0.9598393574	0.9952912452
123	0.1310890656	0.1310890656	0.9598393574	0.9954220439
124	0.1302918237	0.1302918237	0.9618473896	0.9955310429
125	0.1298573024	0.1298573024	0.9618473896	0.9956182421
126	0.1288994258	0.1288994258	0.9618473896	0.9956618416
127	0.1279068602	0.1279068602	0.9638554217	0.9958580398
128	0.1270819641	0.1270819641	0.9638554217	0.9960106383
129	0.1263296173	0.1263296173	0.9638554217	0.9960542379
130	0.12597271	0.12597271	0.9638554217	0.9960760377
131	0.1251470823	0.1251470823	0.9638554217	0.996141437
132	0.1246873032	0.1246873032	0.9638554217	0.9961850366
133	0.124086622	0.124086622	0.9638554217	0.9961850366
134	0.1233834041	0.1233834041	0.9658634538	0.9961632368
135	0.1226950946	0.1226950946	0.9658634538	0.9964466341
136	0.1219512545	0.1219512545	0.9638554217	0.9965556331
137	0.1213102767	0.1213102767	0.9658634538	0.9966428322
138	0.1205740659	0.1205740659	0.9658634538	0.9967518312
139	0.1194863653	0.1194863653	0.9658634538	0.9968390303
140	0.1187416696	0.1187416696	0.9658634538	0.9969480293
141	0.1184145514	0.1184145514	0.9658634538	0.9969916289
142	0.1175570065	0.1175570065	0.9658634538	0.997078828
143	0.1168973779	0.1168973779	0.9658634538	0.9971006278
144	0.1161635384	0.1161635384	0.9678714859	0.9972096268
145	0.115808447	0.115808447	0.9678714859	0.9972096268
146	0.1155305876	0.1155305876	0.9678714859	0.9972314266
147	0.1146321866	0.1146321866	0.9678714859	0.997296826
148	0.1140447405	0.1140447405	0.9698795181	0.9974058249
149	0.1136419422	0.1136419422	0.9718875502	0.9974712243
150	0.1132853854	0.1132853854	0.9718875502	0.9974712243
151	0.1130413343	0.1130413343	0.9718875502	0.9975366236
152	0.1125900959	0.1125900959	0.9718875502	0.997602023
153	0.1120970277	0.1120970277	0.9718875502	0.9976456226
154	0.1117511039	0.1117511039	0.9718875502	0.9976892222
155	0.1113394182	0.1113394182	0.9698795181	0.997711022
156	0.1103857468	0.1103857468	0.9718875502	0.9978636205
157	0.1096412934	0.1096412934	0.9779116466	0.9979726195
